,Full Name,class_num,Year,Make,Model,Body Style
0,AM General Hummer SUV 2000,1,2000,HUMMER,H1,SUV
1,Acura RL Sedan 2012,2,2012,Acura,RL,Sedan
2,Acura TL Sedan 2012,3,2012,Acura,TL,Sedan
3,Acura TL Type-S 2008,4,2008,Acura,TL,Sedan
4,Acura TSX Sedan 2012,5,2012,Acura,TSX,Sedan
5,Acura Integra Type R 2001,6,2001,Acura,Integra,Coupe
6,Acura ZDX Hatchback 2012,7,2012,Acura,ZDX,SUV
7,Aston Martin V8 Vantage Convertible 2012,8,2012,Aston Martin,V8 Vantage,Convertible
8,Aston Martin V8 Vantage Coupe 2012,9,2012,Aston Martin,V8 Vantage,Coupe
9,Aston Martin Virage Convertible 2012,10,2012,Aston Martin,Virage,Convertible
10,Aston Martin Virage Coupe 2012,11,2012,Aston Martin,Virage,Coupe
11,Audi RS 4 Convertible 2008,12,2008,Audi,RS 4,Convertible
12,Audi A5 Coupe 2012,13,2012,Audi,A5,Coupe
13,Audi TTS Coupe 2012,14,2012,Audi,TTS,Coupe
14,Audi R8 Coupe 2012,15,2012,Audi,R8,Coupe
15,Audi V8 Sedan 1994,16,1994,Audi,V8,Sedan
16,Audi 100 Sedan 1994,17,1994,Audi,100,Sedan
17,Audi 100 Wagon 1994,18,1994,Audi,100,Wagon
18,Audi TT Hatchback 2011,19,2011,Audi,TT,Coupe
19,Audi S6 Sedan 2011,20,2011,Audi,S6,Sedan
20,Audi S5 Convertible 2012,21,2012,Audi,S5,Convertible
21,Audi S5 Coupe 2012,22,2012,Audi,S5,Coupe
22,Audi S4 Sedan 2012,23,2012,Audi,S4,Sedan
23,Audi S4 Sedan 2007,24,2007,Audi,S4,Sedan
24,Audi TT RS Coupe 2012,25,2012,Audi,TT,Coupe
25,BMW ActiveHybrid 5 Sedan 2012,26,2012,BMW,5 Series,Sedan
26,BMW 1 Series Convertible 2012,27,2012,BMW,1 Series,Convertible
27,BMW 1 Series Coupe 2012,28,2012,BMW,1 Series,Coupe
28,BMW 3 Series Sedan 2012,29,2012,BMW,3 Series,Sedan
29,BMW 3 Series Wagon 2012,30,2012,BMW,3 Series,Wagon
30,BMW 6 Series Convertible 2007,31,2007,BMW,6 Series,Convertible
31,BMW X5 SUV 2007,32,2007,BMW,X5,SUV
32,BMW X6 SUV 2012,33,2012,BMW,X6,SUV
33,BMW M3 Coupe 2012,34,2012,BMW,3 Series,Coupe
34,BMW M5 Sedan 2010,35,2010,BMW,5 Series,Sedan
35,BMW M6 Convertible 2010,36,2010,BMW,6 Series,Convertible
36,BMW X3 SUV 2012,37,2012,BMW,X3,SUV
37,BMW Z4 Convertible 2012,38,2012,BMW,Z4,Convertible
38,Bentley Continental Supersports Conv. Convertible 2012,39,2012,Bentley,Continental GT,Convertible
39,Bentley Arnage Sedan 2009,40,2009,Bentley,Arnage,Sedan
40,Bentley Mulsanne Sedan 2011,41,2011,Bentley,Mulsanne,Sedan
41,Bentley Continental GT Coupe 2012,42,2012,Bentley,Continental GT,Coupe
42,Bentley Continental GT Coupe 2007,43,2007,Bentley,Continental GT,Coupe
43,Bentley Continental Flying Spur Sedan 2007,44,2007,Bentley,Continental Flying Spur,Sedan
44,Bugatti Veyron 16.4 Convertible 2009,45,2009,Bugatti,Veyron,Convertible
45,Bugatti Veyron 16.4 Coupe 2009,46,2009,Bugatti,Veyron,Coupe
46,Buick Regal GS 2012,47,2012,Buick,Regal,Sedan
47,Buick Rainier SUV 2007,48,2007,Buick,Rainier,SUV
48,Buick Verano Sedan 2012,49,2012,Buick,Verano,Sedan
49,Buick Enclave SUV 2012,50,2012,Buick,Enclave,SUV
50,Cadillac CTS-V Sedan 2012,51,2012,Cadillac,CTS,Sedan
51,Cadillac SRX SUV 2012,52,2012,Cadillac,SRX,SUV
52,Cadillac Escalade EXT Crew Cab 2007,53,2007,Cadillac,Escalade,Pickup
53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54,2012,Chevrolet,Silverado,Pickup
54,Chevrolet Corvette Convertible 2012,55,2012,Chevrolet,Corvette,Convertible
55,Chevrolet Corvette ZR1 2012,56,2012,Chevrolet,Corvette,Coupe
56,Chevrolet Corvette Ron Fellows Edition Z06 2007,57,2007,Chevrolet,Corvette,Coupe
57,Chevrolet Traverse SUV 2012,58,2012,Chevrolet,Traverse,SUV
58,Chevrolet Camaro Convertible 2012,59,2012,Chevrolet,Camaro,Convertible
59,Chevrolet HHR SS 2010,60,2010,Chevrolet,HHR,Hatchback
60,Chevrolet Impala Sedan 2007,61,2007,Chevrolet,Impala,Sedan
61,Chevrolet Tahoe Hybrid SUV 2012,62,2012,Chevrolet,Tahoe,SUV
62,Chevrolet Sonic Sedan 2012,63,2012,Chevrolet,Sonic,Sedan
63,Chevrolet Express Cargo Van 2007,64,2007,Chevrolet,Express,Van
64,Chevrolet Avalanche Crew Cab 2012,65,2012,Chevrolet,Avalanche,Pickup
65,Chevrolet Cobalt SS 2010,66,2010,Chevrolet,Cobalt,Coupe
66,Chevrolet Malibu Hybrid Sedan 2010,67,2010,Chevrolet,Malibu,Sedan
67,Chevrolet TrailBlazer SS 2009,68,2009,Chevrolet,TrailBlazer,SUV
68,Chevrolet Silverado 2500HD Regular Cab 2012,69,2012,Chevrolet,Silverado,Pickup
69,Chevrolet Silverado 1500 Classic Extended Cab 2007,70,2007,Chevrolet,Silverado,Pickup
70,Chevrolet Express Van 2007,71,2007,Chevrolet,Express,Van
71,Chevrolet Monte Carlo Coupe 2007,72,2007,Chevrolet,Monte Carlo,Coupe
72,Chevrolet Malibu Sedan 2007,73,2007,Chevrolet,Malibu,Sedan
73,Chevrolet Silverado 1500 Extended Cab 2012,74,2012,Chevrolet,Silverado,Pickup
74,Chevrolet Silverado 1500 Regular Cab 2012,75,2012,Chevrolet,Silverado,Pickup
75,Chrysler Aspen SUV 2009,76,2009,Chrysler,Aspen,SUV
76,Chrysler Sebring Convertible 2010,77,2010,Chrysler,Sebring,Convertible
77,Chrysler Town and Country Minivan 2012,78,2012,Chrysler,Town and Country,Minivan
78,Chrysler 300 SRT-8 2010,79,2010,Chrysler,300,Sedan
79,Chrysler Crossfire Convertible 2008,80,2008,Chrysler,Crossfire,Convertible
80,Chrysler PT Cruiser Convertible 2008,81,2008,Chrysler,PT Cruiser,Convertible
81,Daewoo Nubira Wagon 2002,82,2002,Daewoo,Nubira,Wagon
82,Dodge Caliber Wagon 2012,83,2012,Dodge,Caliber,Hatchback
83,Dodge Caliber Wagon 2007,84,2007,Dodge,Caliber,Hatchback
84,Dodge Caravan Minivan 1997,85,1997,Dodge,Caravan,Minivan
85,Dodge Ram Pickup 3500 Crew Cab 2010,86,2010,Dodge,Ram,Pickup
86,Dodge Ram Pickup 3500 Quad Cab 2009,87,2009,Dodge,Ram,Pickup
87,Dodge Sprinter Cargo Van 2009,88,2009,Dodge,Sprinter,Van
88,Dodge Journey SUV 2012,89,2012,Dodge,Journey,SUV
89,Dodge Dakota Crew Cab 2010,90,2010,Dodge,Dakota,Pickup
90,Dodge Dakota Club Cab 2007,91,2007,Dodge,Dakota,Pickup
91,Dodge Magnum Wagon 2008,92,2008,Dodge,Magnum,Wagon
92,Dodge Challenger SRT8 2011,93,2011,Dodge,Challenger,Coupe
93,Dodge Durango SUV 2012,94,2012,Dodge,Durango,SUV
94,Dodge Durango SUV 2007,95,2007,Dodge,Durango,SUV
95,Dodge Charger Sedan 2012,96,2012,Dodge,Charger,Sedan
96,Dodge Charger SRT-8 2009,97,2009,Dodge,Charger,Sedan
97,Eagle Talon Hatchback 1998,98,1998,Eagle,Talon,Coupe
98,FIAT 500 Abarth 2012,99,2012,FIAT,500,Hatchback
99,FIAT 500 Convertible 2012,100,2012,FIAT,500,Convertible
100,Ferrari FF Coupe 2012,101,2012,Ferrari,FF,Coupe
101,Ferrari California Convertible 2012,102,2012,Ferrari,California,Convertible
102,Ferrari 458 Italia Convertible 2012,103,2012,Ferrari,458 Italia,Convertible
103,Ferrari 458 Italia Coupe 2012,104,2012,Ferrari,458 Italia,Coupe
104,Fisker Karma Sedan 2012,105,2012,Fisker,Karma,Sedan
105,Ford F-450 Super Duty Crew Cab 2012,106,2012,Ford,F-450,Pickup
106,Ford Mustang Convertible 2007,107,2007,Ford,Mustang,Convertible
107,Ford Freestar Minivan 2007,108,2007,Ford,Freestar,Minivan
108,Ford Expedition EL SUV 2009,109,2009,Ford,Expedition,SUV
109,Ford Edge SUV 2012,110,2012,Ford,Edge,SUV
110,Ford Ranger SuperCab 2011,111,2011,Ford,Ranger,Pickup
111,Ford GT Coupe 2006,112,2006,Ford,GT,Coupe
112,Ford F-150 Regular Cab 2012,113,2012,Ford,F-150,Pickup
113,Ford F-150 Regular Cab 2007,114,2007,Ford,F-150,Pickup
114,Ford Focus Sedan 2007,115,2007,Ford,Focus,Sedan
115,Ford E-Series Wagon Van 2012,116,2012,Ford,E-Series,Van
116,Ford Fiesta Sedan 2012,117,2012,Ford,Fiesta,Sedan
117,GMC Terrain SUV 2012,118,2012,GMC,Terrain,SUV
118,GMC Savana Van 2012,119,2012,GMC,Savana,Van
119,GMC Yukon Hybrid SUV 2012,120,2012,GMC,Yukon,SUV
120,GMC Acadia SUV 2012,121,2012,GMC,Acadia,SUV
121,GMC Canyon Extended Cab 2012,122,2012,GMC,Canyon,Pickup
122,Geo Metro Convertible 1993,123,1993,Geo,Metro,Convertible
123,HUMMER H3T Crew Cab 2010,124,2010,HUMMER,H3T,Pickup
124,HUMMER H2 SUT Crew Cab 2009,125,2009,HUMMER,H2,Pickup
125,Honda Odyssey Minivan 2012,126,2012,Honda,Odyssey,Minivan
126,Honda Odyssey Minivan 2007,127,2007,Honda,Odyssey,Minivan
127,Honda Accord Coupe 2012,128,2012,Honda,Accord,Coupe
128,Honda Accord Sedan 2012,129,2012,Honda,Accord,Sedan
129,Hyundai Veloster Hatchback 2012,130,2012,Hyundai,Veloster,Hatchback
130,Hyundai Santa Fe SUV 2012,131,2012,Hyundai,Santa Fe,SUV
131,Hyundai Tucson SUV 2012,132,2012,Hyundai,Tucson,SUV
132,Hyundai Veracruz SUV 2012,133,2012,Hyundai,Veracruz,SUV
133,Hyundai Sonata Hybrid Sedan 2012,134,2012,Hyundai,Sonata,Sedan
134,Hyundai Elantra Sedan 2007,135,2007,Hyundai,Elantra,Sedan
135,Hyundai Accent Sedan 2012,136,2012,Hyundai,Accent,Sedan
136,Hyundai Genesis Sedan 2012,137,2012,Hyundai,Genesis,Sedan
137,Hyundai Sonata Sedan 2012,138,2012,Hyundai,Sonata,Sedan
138,Hyundai Elantra Touring Hatchback 2012,139,2012,Hyundai,Elantra Touring,Hatchback
139,Hyundai Azera Sedan 2012,140,2012,Hyundai,Azera,Sedan
140,Infiniti G Coupe IPL 2012,141,2012,Infiniti,G,Coupe
141,Infiniti QX56 SUV 2011,142,2011,Infiniti,QX56,SUV
142,Isuzu Ascender SUV 2008,143,2008,Isuzu,Ascender,SUV
143,Jaguar XK XKR 2012,144,2012,Jaguar,XKR,Coupe
144,Jeep Patriot SUV 2012,145,2012,Jeep,Patriot,SUV
145,Jeep Wrangler SUV 2012,146,2012,Jeep,Wrangler,SUV
146,Jeep Liberty SUV 2012,147,2012,Jeep,Liberty,SUV
147,Jeep Grand Cherokee SUV 2012,148,2012,Jeep,Grand Cherokee,SUV
148,Jeep Compass SUV 2012,149,2012,Jeep,Compass,SUV
149,Lamborghini Reventon Coupe 2008,150,2008,Lamborghini,Reventon,Coupe
150,Lamborghini Aventador Coupe 2012,151,2012,Lamborghini,Aventador,Coupe
151,Lamborghini Gallardo LP 570-4 Superleggera 2012,152,2012,Lamborghini,Gallardo,Coupe
152,Lamborghini Diablo Coupe 2001,153,2001,Lamborghini,Diablo,Coupe
153,Land Rover Range Rover SUV 2012,154,2012,Land Rover,Range Rover,SUV
154,Land Rover LR2 SUV 2012,155,2012,Land Rover,LR2,SUV
155,Lincoln Town Car Sedan 2011,156,2011,Lincoln,Town Car,Sedan
156,MINI Cooper Roadster Convertible 2012,157,2012,MINI,Cooper,Convertible
157,Maybach Landaulet Convertible 2012,158,2012,Maybach,Landaulet,Convertible
158,Mazda Tribute SUV 2011,159,2011,Mazda,Tribute,SUV
159,McLaren MP4-12C Coupe 2012,160,2012,McLaren,MP4-12C,Coupe
160,Mercedes-Benz 300-Class Convertible 1993,161,1993,Mercedes-Benz,300-Class,Convertible
161,Mercedes-Benz C-Class Sedan 2012,162,2012,Mercedes-Benz,C-Class,Sedan
162,Mercedes-Benz SL-Class Coupe 2009,163,2009,Mercedes-Benz,SL-Class,Coupe
163,Mercedes-Benz E-Class Sedan 2012,164,2012,Mercedes-Benz,E-Class,Sedan
164,Mercedes-Benz S-Class Sedan 2012,165,2012,Mercedes-Benz,S-Class,Sedan
165,Mercedes-Benz Sprinter Van 2012,166,2012,Mercedes-Benz,Sprinter,Van
166,Mitsubishi Lancer Sedan 2012,167,2012,Mitsubishi,Lancer,Sedan
167,Nissan Leaf Hatchback 2012,168,2012,Nissan,Leaf,Hatchback
168,Nissan NV Passenger Van 2012,169,2012,Nissan,NV,Van
169,Nissan Juke Hatchback 2012,170,2012,Nissan,Juke,SUV
170,Nissan 240SX Coupe 1998,171,1998,Nissan,240SX,Coupe
171,Plymouth Neon Coupe 1999,172,1999,Plymouth,Neon,Coupe
172,Porsche Panamera Sedan 2012,173,2012,Porsche,Panamera,Sedan
173,Ram C/V Cargo Van Minivan 2012,174,2012,Ram,C/V,Minivan
174,Rolls-Royce Phantom Drophead Coupe Convertible 2012,175,2012,Rolls-Royce,Phantom,Convertible
175,Rolls-Royce Ghost Sedan 2012,176,2012,Rolls-Royce,Ghost,Sedan
176,Rolls-Royce Phantom Sedan 2012,177,2012,Rolls-Royce,Phantom,Sedan
177,Scion xD Hatchback 2012,178,2012,Scion,xD,Hatchback
178,Spyker C8 Convertible 2009,179,2009,Spyker,C8,Convertible
179,Spyker C8 Coupe 2009,180,2009,Spyker,C8,Coupe
180,Suzuki Aerio Sedan 2007,181,2007,Suzuki,Aerio,Sedan
181,Suzuki Kizashi Sedan 2012,182,2012,Suzuki,Kizashi,Sedan
182,Suzuki SX4 Hatchback 2012,183,2012,Suzuki,SX4,Hatchback
183,Suzuki SX4 Sedan 2012,184,2012,Suzuki,SX4,Sedan
184,Tesla Model S Sedan 2012,185,2012,Tesla,Model S,Sedan
185,Toyota Sequoia SUV 2012,186,2012,Toyota,Sequoia,SUV
186,Toyota Camry Sedan 2012,187,2012,Toyota,Camry,Sedan
187,Toyota Corolla Sedan 2012,188,2012,Toyota,Corolla,Sedan
188,Toyota 4Runner SUV 2012,189,2012,Toyota,4Runner,SUV
189,Volkswagen Golf Hatchback 2012,190,2012,Volkswagen,Golf,Hatchback
190,Volkswagen Golf Hatchback 1991,191,1991,Volkswagen,Golf,Hatchback
191,Volkswagen Beetle Hatchback 2012,192,2012,Volkswagen,Beetle,Hatchback
192,Volvo C30 Hatchback 2012,193,2012,Volvo,C30,Hatchback
193,Volvo 240 Sedan 1993,194,1993,Volvo,240,Sedan
194,Volvo XC90 SUV 2007,195,2007,Volvo,XC90,SUV
195,smart fortwo Convertible 2012,196,2012,smart,fortwo,Convertible